week,Load: Practice,Load: S&C,Load: Competition,Distance,High Speed Distance,Sprints,Sleep,Soreness
41,0.0,0.0,0.0,0.0,0.0,0.0,44.5,51.833333333333336
46,464.0,0.0,623.0,73255.0,0.0,347.0,80.66666666666667,27.666666666666668
1,0.0,0.0,0.0,0.0,0.0,0.0,46.833333333333336,34.0
10,398.0,95.0,0.0,11805.1,1083.8000000000002,26.0,34.0,38.57142857142857
17,0.0,0.0,0.0,0.0,0.0,0.0,74.0,15.0
5,459.0,109.0,0.0,16750.2,711.0,43.0,66.14285714285714,11.0
4,0.0,0.0,0.0,0.0,0.0,0.0,69.0,84.0
0,0.0,0.0,0.0,0.0,0.0,0.0,48.666666666666664,28.333333333333332
2,398.0,86.0,0.0,17322.2,336.8,25.0,50.714285714285715,67.57142857142857
11,0.0,0.0,0.0,4873.0,0.0,0.0,66.75,36.5
7,0.0,0.0,0.0,0.0,0.0,0.0,84.0,18.285714285714285
7,0.0,0.0,0.0,0.0,0.0,0.0,77.0,24.0
45,571.0,0.0,0.0,26754.0,0.0,80.0,61.5,46.166666666666664
25,0.0,0.0,0.0,0.0,0.0,0.0,69.0,35.0
18,211.0,48.0,0.0,6708.4,555.3,13.0,44.25,50.285714285714285
25,680.0,0.0,0.0,24291.2,2845.3,172.0,58.0,39.0
6,0.0,0.0,0.0,0.0,0.0,0.0,81.33333333333333,33.0
0,0.0,0.0,0.0,0.0,0.0,0.0,62.25,18.25
23,0.0,0.0,0.0,0.0,0.0,0.0,61.5,29.25
45,371.0,0.0,216.0,34199.0,0.0,85.0,58.0,12.0
44,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0
8,467.0,157.0,0.0,17066.8,1215.4,109.0,82.8,26.166666666666668
3,672.0,188.0,0.0,22185.3,1214.1999999999998,61.0,58.142857142857146,75.28571428571429
46,265.0,0.0,274.0,72479.0,0.0,347.0,92.83333333333333,1.6666666666666667
4,0.0,108.0,0.0,7676.5,0.0,0.0,46.42857142857143,35.857142857142854
15,0.0,0.0,0.0,0.0,0.0,0.0,82.75,20.857142857142858
13,0.0,0.0,0.0,0.0,0.0,0.0,80.0,19.2
12,0.0,0.0,0.0,0.0,0.0,0.0,47.0,30.0
24,308.0,60.0,0.0,39475.8,2612.3,135.0,85.33333333333333,16.571428571428573
8,0.0,0.0,0.0,0.0,0.0,0.0,56.0,48.0
27,0.0,0.0,0.0,0.0,0.0,0.0,53.4,35.333333333333336
11,0.0,0.0,0.0,0.0,0.0,0.0,64.5,13.0
24,0.0,0.0,0.0,0.0,0.0,0.0,65.6,32.833333333333336
46,0.0,0.0,0.0,0.0,0.0,0.0,64.14285714285714,0.0
2,586.0,175.0,0.0,12598.1,1045.2,54.0,58.0,40.42857142857143
0,0.0,0.0,0.0,0.0,0.0,0.0,78.33333333333333,28.333333333333332
18,0.0,0.0,0.0,0.0,0.0,0.0,81.0,33.0
45,217.0,0.0,202.0,11873.0,0.0,6.0,77.0,33.0
2,681.0,94.0,0.0,18533.8,1643.3,65.0,61.142857142857146,63.57142857142857
11,0.0,125.0,0.0,3762.1,0.0,0.0,58.5,45.57142857142857
5,0.0,90.0,0.0,2102.0,0.0,0.0,78.42857142857143,19.0
15,0.0,0.0,0.0,0.0,0.0,0.0,58.285714285714285,43.714285714285715
2,438.0,32.0,0.0,12267.6,898.8,33.0,48.833333333333336,61.166666666666664
1,0.0,0.0,0.0,0.0,0.0,0.0,85.2,19.8
25,0.0,0.0,0.0,0.0,0.0,0.0,47.666666666666664,37.0
1,0.0,0.0,0.0,0.0,0.0,0.0,56.142857142857146,29.571428571428573
6,0.0,118.0,0.0,10360.2,0.0,0.0,80.25,25.0
29,0.0,0.0,0.0,14978.6,0.0,0.0,48.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,53.25,47.714285714285715
25,418.0,0.0,734.0,39976.2,3583.5,97.0,56.285714285714285,15.0
11,0.0,0.0,0.0,0.0,0.0,0.0,81.75,20.285714285714285
12,0.0,0.0,0.0,0.0,0.0,0.0,46.0,60.0
40,0.0,0.0,0.0,0.0,0.0,0.0,63.5,60.5
3,0.0,0.0,0.0,0.0,0.0,0.0,60.166666666666664,41.714285714285715
7,0.0,0.0,0.0,0.0,0.0,0.0,69.0,12.333333333333334
22,0.0,0.0,0.0,0.0,0.0,0.0,60.0,51.0
6,243.0,124.0,0.0,11411.3,0.8,5.0,48.333333333333336,53.166666666666664
24,446.0,0.0,492.0,28271.0,3058.1,98.0,36.6,37.42857142857143
18,0.0,0.0,0.0,0.0,0.0,0.0,63.0,61.0
12,710.0,11.0,195.0,35194.5,4182.01,160.0,74.75,53.0
11,0.0,67.0,0.0,10209.0,0.0,0.0,70.71428571428571,17.285714285714285
19,0.0,30.0,0.0,4836.6,0.0,0.0,80.75,20.75
13,633.0,168.0,0.0,32209.0,3733.6000000000004,79.0,54.42857142857143,32.857142857142854
2,0.0,0.0,0.0,0.0,0.0,0.0,85.42857142857143,12.428571428571429
0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0
19,0.0,54.0,0.0,11042.5,0.0,0.0,62.57142857142857,42.0
9,633.0,152.0,0.0,22314.1,2392.4,117.0,72.5,29.285714285714285
3,0.0,0.0,0.0,0.0,0.0,0.0,68.42857142857143,27.714285714285715
3,0.0,0.0,0.0,0.0,0.0,0.0,55.57142857142857,43.142857142857146
28,437.0,125.0,0.0,13182.2,1904.1000000000001,54.0,85.25,5.0
16,297.0,118.0,358.0,12420.0,125.9,17.0,55.5,53.5
25,431.0,112.0,0.0,48770.7,3923.9,132.0,80.0,19.333333333333332
28,363.0,187.0,0.0,15739.099999999999,2669.1,92.0,76.5,28.5
10,0.0,0.0,0.0,0.0,0.0,0.0,46.0,25.333333333333332
