,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,0.14314007759094238,0.0531995084393772,0.0013056755065917968,5.215508732473319e-05,SVR(kernel='linear'),{'estimator': SVR(kernel='linear')},-0.05288028383499199,0.01689257371842756,-0.029967240251061567,0.019486970420866556,0.0262017465190183,-0.004053246685548228,0.03150824795804345,1
4,0.006919574737548828,0.0009756218815188176,0.0021073341369628905,9.87108662086206e-05,BayesianRidge(),{'estimator': BayesianRidge()},-0.03615919006317192,-0.022716963826176606,-0.01571215359880096,0.03645605781901462,-0.0077388036710019925,-0.009174210668027372,0.02465166026567637,2
0,0.005140876770019532,0.00023776430000268896,0.0017914295196533204,8.290844884192443e-05,LinearRegression(),{'estimator': LinearRegression()},-0.073541286427254,-0.05244314641774661,-0.007053156737785393,0.031953936096069224,0.02649888452599969,-0.014916953792143417,0.04199766373622614,3
1,0.1053884506225586,0.014709251357965995,0.009608745574951172,0.002446124804140068,RandomForestRegressor(max_depth=3),{'estimator': RandomForestRegressor(max_depth=3)},-0.1004397366030163,-0.01627053414405233,-0.030240098099889146,-0.0054207610308592,-0.03242889006701066,-0.036960003988965526,0.033220904834508014,4
2,0.14122543334960938,0.02479622336515635,0.010849237442016602,0.0031222726518698785,RandomForestRegressor(max_depth=5),{'estimator': RandomForestRegressor(max_depth=5)},-0.1606985908769225,-0.03361598035822699,-0.07793734499325078,-0.02485693107314546,-0.048446683307996175,-0.06911110612190838,0.04921691617487261,5
3,0.13525662422180176,0.03152279378935442,0.007691287994384765,0.002997594197212627,RandomForestRegressor(max_depth=7),{'estimator': RandomForestRegressor(max_depth=7)},-0.21621017034695678,-0.0066526250983853785,-0.07663143218263713,-0.06263941574103304,-0.09725166786542605,-0.09187706224688767,0.06904792835692408,6
