,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4,0.00513916015625,0.0005466829029332732,0.001871013641357422,0.00011845393241042087,BayesianRidge(),{'estimator': BayesianRidge()},0.45527318773005065,0.24787136468621962,0.3734374967687868,0.19927883689398895,0.28931345214776105,0.31303486764536137,0.09124652268328877,1
0,0.004666376113891602,0.00037968921578856584,0.001776123046875,0.00013069293196214454,LinearRegression(),{'estimator': LinearRegression()},0.4621755047783117,0.2461461349602735,0.37277495045248243,0.19307470425726303,0.2909466648578619,0.3130235918612385,0.09504129477780235,2
5,0.09978346824645996,0.0638099017450442,0.0016959667205810546,0.00042983696334327506,SVR(kernel='linear'),{'estimator': SVR(kernel='linear')},0.44159352414092545,0.229614256160375,0.36465993582120027,0.2237410094894715,0.2734232665994808,0.30660639844229065,0.08424644823960419,3
1,0.12254128456115723,0.009394447346639044,0.010614347457885743,0.0012377274653183013,RandomForestRegressor(max_depth=3),{'estimator': RandomForestRegressor(max_depth=3)},0.48465838802424555,0.23174646352810302,0.3376541911778552,0.11308233097211717,0.2673484890442722,0.2868979725493187,0.12273640386438654,4
2,0.11833906173706055,0.023393631002342173,0.010070991516113282,0.002716433681313941,RandomForestRegressor(max_depth=5),{'estimator': RandomForestRegressor(max_depth=5)},0.4912322283244148,0.22589379224116723,0.3102228705664831,0.0771962647463299,0.24007572844505554,0.26892417686469006,0.1345881800958973,5
3,0.1380767345428467,0.044182965748422606,0.006413745880126953,0.0017095464248913176,RandomForestRegressor(max_depth=7),{'estimator': RandomForestRegressor(max_depth=7)},0.469867681882001,0.13950058817463262,0.3031055206970652,0.07777669223505368,0.20371112823604187,0.2387923222449589,0.13751187662292935,6
