,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.004197835922241211,0.0007471202463998052,0.0021853923797607424,0.0006718297872727464,LinearRegression(),{'estimator': LinearRegression()},0.30577517419363553,0.16022629205428363,0.09729515160599311,0.2696101267297836,0.1671788561931421,0.2000171201553676,0.07647407006523113,1
4,0.005921745300292968,0.0006812821573464348,0.002096748352050781,0.000278184795601287,BayesianRidge(),{'estimator': BayesianRidge()},0.301548444778428,0.16002711962775096,0.10690766069839086,0.25636316106291734,0.17085772350492456,0.19914082193448235,0.07014055703855787,2
5,0.04862027168273926,0.028361056401806053,0.0017906665802001954,0.0004210721750516052,SVR(kernel='linear'),{'estimator': SVR(kernel='linear')},0.31570585999648637,0.1596489913945892,0.07380431903358253,0.2860120120797883,0.15246079604615292,0.19752639571011987,0.09007646570691238,3
1,0.12069439888000488,0.007737757064533195,0.010669326782226563,0.0012601412000707065,RandomForestRegressor(max_depth=3),{'estimator': RandomForestRegressor(max_depth=3)},0.27360807039311075,0.16545228442813553,0.14773453154429605,0.26961288493892255,0.11525931202954687,0.19433341666680234,0.06513026790209107,4
2,0.12774901390075682,0.0043230737757163126,0.010555648803710937,0.0014434631826110431,RandomForestRegressor(max_depth=5),{'estimator': RandomForestRegressor(max_depth=5)},0.2789003364969608,0.17218878998736598,0.09029633021984906,0.23474941842247787,0.004435079720640167,0.15611399096945877,0.09885026337482562,5
3,0.11883440017700195,0.01851308478620622,0.007480144500732422,0.0033211500491707414,RandomForestRegressor(max_depth=7),{'estimator': RandomForestRegressor(max_depth=7)},0.2376670576485268,0.15497382610544808,0.0682633688943789,0.19198765508568594,-0.04203924198050313,0.12217053315070732,0.099157214888111,6
