,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4,0.0063403606414794925,0.0013851467008868642,0.0021010398864746093,0.0001826736081071368,BayesianRidge(),{'estimator': BayesianRidge()},-0.019687138145566774,-0.015562541880483671,-0.02244466760749897,-0.0008239986437326152,-0.0038179937970506117,-0.012467268014866528,0.008621269207978281,1
0,0.004290771484375,0.0003374437260821413,0.001731729507446289,0.00011437380332703259,LinearRegression(),{'estimator': LinearRegression()},-0.05510498818137988,-0.0022511078505076387,-0.04035659067991593,0.017601889874406695,-0.029002474422567648,-0.02182265425199288,0.026230175283833798,2
1,0.12092313766479493,0.0028445502939718624,0.012191247940063477,0.00045070701164023983,RandomForestRegressor(max_depth=3),{'estimator': RandomForestRegressor(max_depth=3)},-0.014465243406366124,0.005521042071448878,-0.0635814822606724,0.016630303063818963,-0.0796204410656407,-0.027103164319482276,0.0380142186389821,3
5,0.0418642520904541,0.017827027184821754,0.0020955085754394533,0.0005538220119010086,SVR(kernel='linear'),{'estimator': SVR(kernel='linear')},-0.07304399958681107,-0.049025528106863225,-0.05771872273015788,0.014209515867497968,-0.011420908606129654,-0.03539992863249277,0.03205293120463734,4
2,0.12389469146728516,0.010945236254634366,0.012104177474975586,0.0018349888912845764,RandomForestRegressor(max_depth=5),{'estimator': RandomForestRegressor(max_depth=5)},-0.0254569564244731,0.014963195684587038,-0.04082353860868304,-0.016065649289079387,-0.11188159842514689,-0.03585290941255907,0.04215911940860979,5
3,0.11416463851928711,0.01396133624405237,0.0073430538177490234,0.002094361889660193,RandomForestRegressor(max_depth=7),{'estimator': RandomForestRegressor(max_depth=7)},-0.050342569274815396,-0.009581580234593323,-0.04182388609421195,-0.03757609126367978,-0.14865120662161546,-0.05759506669778318,0.04753652013791352,6
