week,Load: Practice,Load: S&C,Load: Competition,100-Sleep
25,0.0,0.0,0.0,0.0
45,418.0,0.0,499.0,50.714285714285715
44,671.0,0.0,214.0,62.0
2,895.0,0.0,0.0,29.25
7,163.0,184.0,0.0,39.0
9,0.0,0.0,0.0,53.75
4,0.0,0.0,0.0,18.0
14,608.0,84.0,0.0,13.166666666666666
44,633.0,0.0,197.0,43.0
31,384.0,67.0,0.0,54.666666666666664
7,0.0,0.0,0.0,34.25
31,0.0,70.0,0.0,46.0
19,0.0,133.0,0.0,44.333333333333336
45,474.0,0.0,412.0,35.0
9,650.0,163.0,0.0,53.0
9,0.0,0.0,0.0,33.0
8,154.0,79.0,0.0,11.0
28,280.0,86.0,0.0,64.0
46,361.0,0.0,510.0,26.5
13,332.0,23.0,0.0,68.66666666666667
5,0.0,0.0,0.0,40.5
3,0.0,0.0,0.0,17.5
4,0.0,0.0,0.0,20.0
4,540.0,67.0,0.0,52.714285714285715
23,721.0,0.0,0.0,55.25
11,76.0,0.0,0.0,47.0
10,0.0,0.0,0.0,47.714285714285715
19,0.0,196.0,0.0,26.857142857142858
16,275.0,0.0,627.0,45.666666666666664
5,300.0,55.0,0.0,53.333333333333336
1,0.0,0.0,0.0,39.6
5,0.0,0.0,0.0,50.75
5,197.0,123.0,0.0,46.0
46,365.0,0.0,213.0,38.0
25,0.0,0.0,0.0,63.833333333333336
2,647.0,55.0,0.0,37.714285714285715
6,233.0,0.0,0.0,18.5
15,615.0,265.0,0.0,31.333333333333332
2,0.0,61.0,0.0,23.0
12,0.0,0.0,0.0,26.666666666666668
8,0.0,0.0,0.0,52.0
25,0.0,0.0,0.0,40.285714285714285
13,266.0,167.0,0.0,49.0
23,313.0,176.0,0.0,18.142857142857142
1,0.0,0.0,0.0,41.0
9,577.0,109.0,0.0,39.42857142857143
24,250.0,120.0,0.0,49.8
5,391.0,109.0,0.0,56.2
27,0.0,238.0,0.0,47.333333333333336
1,0.0,0.0,0.0,32.5
9,0.0,0.0,0.0,39.333333333333336
10,0.0,0.0,0.0,47.4
1,0.0,0.0,0.0,41.25
13,0.0,0.0,0.0,25.333333333333332
14,307.0,0.0,0.0,42.0
15,658.0,141.0,0.0,47.666666666666664
46,544.0,0.0,561.0,47.0
30,285.0,137.0,208.0,17.5
13,207.0,212.0,0.0,31.0
16,0.0,0.0,0.0,35.4
12,392.0,118.0,206.0,57.285714285714285
23,312.0,0.0,0.0,54.5
15,331.0,162.0,0.0,49.4
45,205.0,0.0,155.0,26.0
13,0.0,0.0,0.0,56.5
16,0.0,0.0,0.0,14.0
0,0.0,0.0,0.0,50.142857142857146
18,128.0,114.0,0.0,48.57142857142857
16,0.0,0.0,0.0,53.0
25,311.0,119.0,0.0,29.333333333333332
22,0.0,24.0,0.0,47.5
0,0.0,0.0,0.0,26.0
42,405.0,171.0,0.0,68.0
5,492.0,0.0,0.0,27.666666666666668
45,359.0,0.0,481.0,17.333333333333332
15,0.0,16.0,0.0,20.714285714285715
1,302.0,0.0,0.0,41.5
2,0.0,0.0,0.0,62.666666666666664
3,0.0,53.0,0.0,19.714285714285715
3,0.0,0.0,0.0,20.2
16,0.0,0.0,0.0,41.2
8,0.0,0.0,0.0,17.666666666666668
18,0.0,0.0,0.0,52.5
5,0.0,0.0,0.0,17.0
1,0.0,0.0,0.0,18.571428571428573
8,0.0,0.0,0.0,57.8
17,0.0,0.0,0.0,18.0
29,0.0,41.0,0.0,47.0
24,380.0,0.0,0.0,57.166666666666664
0,0.0,0.0,0.0,67.5
10,0.0,0.0,0.0,16.6
14,279.0,136.0,0.0,31.25
7,181.0,216.0,0.0,28.0
0,0.0,0.0,0.0,13.142857142857142
23,0.0,0.0,0.0,33.0
5,455.0,110.0,0.0,34.714285714285715
7,0.0,0.0,0.0,55.4
19,0.0,81.0,0.0,25.0
15,0.0,0.0,0.0,29.6
8,0.0,0.0,0.0,39.0
15,0.0,0.0,0.0,51.75
13,366.0,138.0,0.0,48.666666666666664
15,575.0,173.0,0.0,32.25
16,56.0,17.0,135.0,47.5
22,644.0,31.0,0.0,49.0
9,464.0,103.0,0.0,23.0
6,0.0,0.0,0.0,58.166666666666664
10,0.0,0.0,0.0,30.5
22,494.0,100.0,0.0,33.333333333333336
16,178.0,83.0,302.0,14.571428571428571
8,0.0,0.0,0.0,21.333333333333332
3,0.0,0.0,0.0,11.0
23,283.0,197.0,0.0,40.0
3,0.0,99.0,0.0,51.4
2,0.0,128.0,0.0,52.0
2,0.0,0.0,0.0,41.4
9,517.0,45.0,0.0,71.85714285714286
18,0.0,75.0,0.0,40.5
21,0.0,12.0,0.0,73.0
5,0.0,0.0,0.0,30.666666666666668
39,0.0,0.0,0.0,64.0
5,372.0,170.0,0.0,18.0
16,261.0,81.0,596.0,6.0
6,286.0,113.0,0.0,53.8
0,0.0,0.0,0.0,27.714285714285715
1,0.0,0.0,0.0,20.0
16,0.0,0.0,0.0,39.0
26,0.0,0.0,0.0,54.5
9,631.0,97.0,0.0,37.0
12,0.0,0.0,0.0,47.0
3,0.0,0.0,0.0,36.833333333333336
