,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,0.30703010559082033,0.1330541623721671,0.001375293731689453,0.00022047068134421738,SVR(kernel='linear'),{'estimator': SVR(kernel='linear')},-0.030254016850506327,-0.018444715993016114,-0.005327570279427318,-0.045258037064543455,0.03666808366553809,-0.012523251304391025,0.02790188255731077,1
0,0.005282735824584961,0.0005988237260169553,0.0016489982604980468,0.00010384420770043751,LinearRegression(),{'estimator': LinearRegression()},-0.011079389890969349,-0.048594467508733974,-0.03215901483190153,-0.038808972440121714,0.03546145924288269,-0.019036077085768776,0.029900393533156315,2
1,0.11771569252014161,0.004348851892472635,0.011221551895141601,0.0010752061035324903,RandomForestRegressor(max_depth=3),{'estimator': RandomForestRegressor(max_depth=3)},-0.05701522225400035,-0.12955726937909806,0.034291953662857755,-0.06517824083883261,0.014987793639007596,-0.040494197034013135,0.059136616023441474,3
4,0.007804250717163086,0.0006649829624204292,0.002222442626953125,0.0003450255617908648,BayesianRidge(),{'estimator': BayesianRidge()},-0.11452982842247139,-0.055470125962500116,-0.01172172033720531,-0.03487695265876112,-0.0003868126803177052,-0.04339708801225113,0.040327237474282275,4
2,0.126007080078125,0.0021599903627975412,0.01286320686340332,0.0007506728269795988,RandomForestRegressor(max_depth=5),{'estimator': RandomForestRegressor(max_depth=5)},-0.07306440219864552,-0.16994586865922856,0.07502676890300686,-0.05517195479146664,-0.010365481017619693,-0.04670418755279071,0.08011741797189599,5
3,0.12468314170837402,0.016360907168862418,0.008866596221923827,0.003933486018388928,RandomForestRegressor(max_depth=7),{'estimator': RandomForestRegressor(max_depth=7)},-0.11596764253198777,-0.26843047664022657,0.11218285148301188,-0.07411282550104814,-0.04663383295844081,-0.07859238522973828,0.12236994506024122,6
