week,Load: Practice,Load: S&C,Load: Competition,Sleep,Mood
13,332.0,23.0,0.0,31.333333333333332,43.5
5,0.0,0.0,0.0,59.5,48.5
3,0.0,0.0,0.0,82.5,68.5
4,0.0,0.0,0.0,80.0,64.0
4,540.0,67.0,0.0,47.285714285714285,51.142857142857146
23,721.0,0.0,0.0,44.75,41.42857142857143
11,76.0,0.0,0.0,53.0,66.0
10,0.0,0.0,0.0,52.285714285714285,56.0
19,0.0,196.0,0.0,73.14285714285714,79.57142857142857
16,275.0,0.0,627.0,54.333333333333336,70.33333333333333
5,300.0,55.0,0.0,46.666666666666664,53.666666666666664
1,0.0,0.0,0.0,60.4,55.8
5,0.0,0.0,0.0,49.25,43.75
5,197.0,123.0,0.0,54.0,62.0
46,365.0,0.0,213.0,62.0,68.0
25,0.0,0.0,0.0,36.166666666666664,46.0
2,647.0,55.0,0.0,62.285714285714285,55.285714285714285
6,233.0,0.0,0.0,81.5,90.5
15,615.0,265.0,0.0,68.66666666666667,80.14285714285714
2,0.0,61.0,0.0,77.0,66.57142857142857
12,0.0,0.0,0.0,73.33333333333333,59.333333333333336
8,0.0,0.0,0.0,48.0,100.0
25,0.0,0.0,0.0,59.714285714285715,63.142857142857146
13,266.0,167.0,0.0,51.0,29.666666666666668
23,313.0,176.0,0.0,81.85714285714286,90.71428571428571
1,0.0,0.0,0.0,59.0,75.25
9,577.0,109.0,0.0,60.57142857142857,67.57142857142857
24,250.0,120.0,0.0,50.2,65.4
5,391.0,109.0,0.0,43.8,37.714285714285715
27,0.0,238.0,0.0,52.666666666666664,58.333333333333336
1,0.0,0.0,0.0,67.5,64.5
9,0.0,0.0,0.0,60.666666666666664,56.857142857142854
10,0.0,0.0,0.0,52.6,46.2
1,0.0,0.0,0.0,58.75,60.25
13,0.0,0.0,0.0,74.66666666666667,87.0
14,307.0,0.0,0.0,58.0,54.0
15,658.0,141.0,0.0,52.333333333333336,44.857142857142854
46,544.0,0.0,561.0,53.0,48.8
30,285.0,137.0,208.0,82.5,87.0
13,207.0,212.0,0.0,69.0,65.0
16,0.0,0.0,0.0,64.6,70.71428571428571
12,392.0,118.0,206.0,42.714285714285715,49.42857142857143
23,312.0,0.0,0.0,45.5,41.25
15,331.0,162.0,0.0,50.6,55.6
45,205.0,0.0,155.0,74.0,85.0
13,0.0,0.0,0.0,43.5,48.5
16,0.0,0.0,0.0,86.0,82.0
0,0.0,0.0,0.0,49.857142857142854,55.0
18,128.0,114.0,0.0,51.42857142857143,61.42857142857143
16,0.0,0.0,0.0,47.0,53.5
25,311.0,119.0,0.0,70.66666666666667,81.66666666666667
22,0.0,24.0,0.0,52.5,53.5
0,0.0,0.0,0.0,74.0,65.33333333333333
42,405.0,171.0,0.0,32.0,46.4
5,492.0,0.0,0.0,72.33333333333333,81.33333333333333
45,359.0,0.0,481.0,82.66666666666667,57.333333333333336
15,0.0,16.0,0.0,79.28571428571429,82.28571428571429
1,302.0,0.0,0.0,58.5,66.25
2,0.0,0.0,0.0,37.333333333333336,65.5
3,0.0,53.0,0.0,80.28571428571429,86.28571428571429
3,0.0,0.0,0.0,79.8,73.14285714285714
16,0.0,0.0,0.0,58.8,53.0
8,0.0,0.0,0.0,82.33333333333333,74.4
18,0.0,0.0,0.0,47.5,48.0
5,0.0,0.0,0.0,83.0,69.0
1,0.0,0.0,0.0,81.42857142857143,78.71428571428571
8,0.0,0.0,0.0,42.2,52.666666666666664
17,0.0,0.0,0.0,82.0,65.0
29,0.0,41.0,0.0,53.0,67.33333333333333
24,380.0,0.0,0.0,42.833333333333336,53.0
0,0.0,0.0,0.0,32.5,55.5
10,0.0,0.0,0.0,83.4,84.42857142857143
14,279.0,136.0,0.0,68.75,62.25
7,181.0,216.0,0.0,72.0,84.0
0,0.0,0.0,0.0,86.85714285714286,83.14285714285714
23,0.0,0.0,0.0,67.0,50.0
5,455.0,110.0,0.0,65.28571428571429,51.57142857142857
7,0.0,0.0,0.0,44.6,44.4
19,0.0,81.0,0.0,75.0,48.57142857142857
15,0.0,0.0,0.0,70.4,59.8
8,0.0,0.0,0.0,61.0,73.0
15,0.0,0.0,0.0,48.25,52.5
13,366.0,138.0,0.0,51.333333333333336,49.142857142857146
15,575.0,173.0,0.0,67.75,77.5
16,56.0,17.0,135.0,52.5,56.0
22,644.0,31.0,0.0,51.0,41.857142857142854
9,464.0,103.0,0.0,77.0,80.0
6,0.0,0.0,0.0,41.833333333333336,50.5
10,0.0,0.0,0.0,69.5,46.0
22,494.0,100.0,0.0,66.66666666666667,69.66666666666667
16,178.0,83.0,302.0,85.42857142857143,92.14285714285714
8,0.0,0.0,0.0,78.66666666666667,62.42857142857143
3,0.0,0.0,0.0,89.0,100.0
23,283.0,197.0,0.0,60.0,62.142857142857146
3,0.0,99.0,0.0,48.6,43.4
2,0.0,128.0,0.0,48.0,45.857142857142854
2,0.0,0.0,0.0,58.6,62.6
9,517.0,45.0,0.0,28.142857142857142,37.142857142857146
18,0.0,75.0,0.0,59.5,74.28571428571429
21,0.0,12.0,0.0,27.0,52.0
5,0.0,0.0,0.0,69.33333333333333,51.333333333333336
39,0.0,0.0,0.0,36.0,38.75
5,372.0,170.0,0.0,82.0,86.5
16,261.0,81.0,596.0,94.0,97.14285714285714
6,286.0,113.0,0.0,46.2,55.57142857142857
0,0.0,0.0,0.0,72.28571428571429,61.42857142857143
1,0.0,0.0,0.0,80.0,71.0
16,0.0,0.0,0.0,61.0,55.0
26,0.0,0.0,0.0,45.5,46.2
9,631.0,97.0,0.0,63.0,77.8
12,0.0,0.0,0.0,53.0,47.333333333333336
3,0.0,0.0,0.0,63.166666666666664,64.5
1,382.0,0.0,0.0,51.666666666666664,49.333333333333336
9,0.0,0.0,0.0,19.0,0.0
1,0.0,0.0,0.0,80.0,72.0
44,329.0,0.0,0.0,52.0,47.333333333333336
3,290.0,224.0,0.0,45.5,52.833333333333336
12,474.0,214.0,203.0,62.5,66.5
4,211.0,200.0,0.0,61.0,51.5
4,0.0,0.0,0.0,57.4,58.714285714285715
47,87.0,0.0,0.0,56.0,58.0
14,0.0,0.0,0.0,74.71428571428571,64.42857142857143
8,541.0,83.0,0.0,69.5,75.71428571428571
13,486.0,271.0,0.0,72.28571428571429,66.57142857142857
0,0.0,0.0,0.0,64.0,76.0
11,0.0,0.0,0.0,74.75,55.5
2,0.0,0.0,0.0,34.0,34.0
22,110.0,104.0,0.0,33.75,42.714285714285715
15,359.0,100.0,0.0,59.0,59.2
0,0.0,0.0,0.0,66.14285714285714,65.0
17,184.0,46.0,0.0,91.0,90.66666666666667
0,0.0,55.0,0.0,74.0,83.4
7,328.0,149.0,0.0,72.42857142857143,59.714285714285715
16,205.0,12.0,0.0,87.5,86.28571428571429
16,238.0,112.0,457.0,48.857142857142854,50.57142857142857
8,327.0,275.0,0.0,58.25,57.0
12,0.0,0.0,0.0,59.166666666666664,58.142857142857146
1,318.0,0.0,0.0,49.25,70.5
47,0.0,0.0,0.0,51.666666666666664,63.4
7,389.0,274.0,0.0,71.33333333333333,73.0
29,153.0,0.0,0.0,51.0,46.333333333333336
35,982.0,0.0,0.0,66.0,56.0
17,0.0,0.0,0.0,58.0,62.5
17,353.0,175.0,0.0,77.85714285714286,90.0
30,0.0,0.0,0.0,52.0,59.0
0,0.0,0.0,0.0,53.0,48.0
13,0.0,0.0,0.0,95.33333333333333,60.333333333333336
7,0.0,0.0,0.0,61.0,59.0
28,0.0,0.0,0.0,58.0,59.4
8,0.0,0.0,0.0,79.0,44.0
1,233.0,22.0,0.0,48.0,44.42857142857143
24,447.0,15.0,0.0,76.66666666666667,80.83333333333333
3,417.0,102.0,0.0,58.57142857142857,52.57142857142857
22,0.0,0.0,0.0,42.0,36.0
24,0.0,0.0,0.0,60.0,100.0
14,0.0,0.0,0.0,81.66666666666667,85.85714285714286
45,275.0,0.0,128.0,83.0,76.8
45,358.0,0.0,407.0,53.4,45.6
15,0.0,0.0,0.0,66.0,66.0
27,0.0,0.0,0.0,60.333333333333336,48.0
30,0.0,47.0,0.0,60.0,58.75
26,0.0,92.0,0.0,66.33333333333333,42.0
12,466.0,127.0,219.0,47.5,39.57142857142857
1,0.0,0.0,0.0,69.0,67.57142857142857
7,370.0,107.0,0.0,45.333333333333336,47.333333333333336
1,0.0,0.0,0.0,64.85714285714286,58.42857142857143
25,0.0,0.0,0.0,55.5,49.0
