week,Load: Practice,Load: S&C,Load: Competition,Sleep,Fatigue_delta
19,0.0,54.0,0.0,62.57142857142857,-4.714285714285715
9,633.0,152.0,0.0,72.5,8.142857142857142
3,0.0,0.0,0.0,68.42857142857143,15.857142857142861
3,0.0,0.0,0.0,55.57142857142857,9.485714285714288
28,437.0,125.0,0.0,85.25,-31.714285714285715
16,297.0,118.0,358.0,55.5,19.5
25,431.0,112.0,0.0,80.0,-5.5
12,565.0,189.0,201.0,67.57142857142857,0.14285714285714235
23,0.0,0.0,0.0,51.0,-15.5
27,0.0,0.0,0.0,58.0,-12.964285714285715
18,0.0,176.0,0.0,77.42857142857143,-21.714285714285715
16,252.0,65.0,552.0,65.85714285714286,8.57142857142857
2,0.0,0.0,0.0,79.71428571428571,8.285714285714285
17,0.0,0.0,0.0,63.666666666666664,10.857142857142858
45,48.0,0.0,0.0,35.0,1.0
13,310.0,158.0,0.0,79.66666666666667,-23.166666666666668
17,205.0,17.0,0.0,41.8,30.166666666666664
3,0.0,0.0,0.0,88.0,-37.5
4,454.0,36.0,0.0,54.6,-7.228571428571431
13,0.0,0.0,0.0,68.25,4.75
45,418.0,0.0,499.0,49.285714285714285,12.0
44,671.0,0.0,214.0,38.0,-6.142857142857146
2,895.0,0.0,0.0,70.75,-0.75
7,163.0,184.0,0.0,61.0,-18.166666666666664
9,0.0,0.0,0.0,46.25,2.0
4,0.0,0.0,0.0,82.0,-13.535714285714285
14,608.0,84.0,0.0,86.83333333333333,3.0
31,384.0,67.0,0.0,45.333333333333336,-12.333333333333336
7,0.0,0.0,0.0,65.75,4.4285714285714235
31,0.0,70.0,0.0,54.0,-14.0
19,0.0,133.0,0.0,55.666666666666664,-26.200000000000003
9,650.0,163.0,0.0,47.0,13.428571428571427
9,0.0,0.0,0.0,67.0,4.25
8,154.0,79.0,0.0,89.0,-22.916666666666668
28,280.0,86.0,0.0,36.0,30.67857142857143
46,361.0,0.0,510.0,73.5,-1.5
13,332.0,23.0,0.0,31.333333333333332,4.857142857142854
5,0.0,0.0,0.0,59.5,32.5
3,0.0,0.0,0.0,82.5,-23.0
4,0.0,0.0,0.0,80.0,30.0
4,540.0,67.0,0.0,47.285714285714285,0.1428571428571459
23,721.0,0.0,0.0,44.75,11.571428571428577
11,76.0,0.0,0.0,53.0,21.0
10,0.0,0.0,0.0,52.285714285714285,2.7142857142857153
19,0.0,196.0,0.0,73.14285714285714,19.142857142857146
16,275.0,0.0,627.0,54.333333333333336,10.333333333333336
5,300.0,55.0,0.0,46.666666666666664,9.466666666666665
1,0.0,0.0,0.0,60.4,16.2
5,0.0,0.0,0.0,49.25,6.071428571428569
5,197.0,123.0,0.0,54.0,-9.166666666666664
46,365.0,0.0,213.0,62.0,-2.5
25,0.0,0.0,0.0,36.166666666666664,17.42857142857143
2,647.0,55.0,0.0,62.285714285714285,0.7142857142857153
15,615.0,265.0,0.0,68.66666666666667,-5.428571428571431
2,0.0,61.0,0.0,77.0,39.85714285714286
12,0.0,0.0,0.0,73.33333333333333,-14.083333333333334
8,0.0,0.0,0.0,48.0,-5.0
25,0.0,0.0,0.0,59.714285714285715,-5.023809523809518
13,266.0,167.0,0.0,51.0,6.666666666666664
23,313.0,176.0,0.0,81.85714285714286,-13.285714285714288
1,0.0,0.0,0.0,59.0,28.25
9,577.0,109.0,0.0,60.57142857142857,-4.285714285714285
24,250.0,120.0,0.0,50.2,-7.914285714285718
5,391.0,109.0,0.0,43.8,4.571428571428569
27,0.0,238.0,0.0,52.666666666666664,19.666666666666668
1,0.0,0.0,0.0,67.5,23.5
9,0.0,0.0,0.0,60.666666666666664,13.0
10,0.0,0.0,0.0,52.6,10.0
1,0.0,0.0,0.0,58.75,-5.75
13,0.0,0.0,0.0,74.66666666666667,7.666666666666666
15,658.0,141.0,0.0,52.333333333333336,-0.2857142857142847
46,544.0,0.0,561.0,53.0,-3.200000000000003
30,285.0,137.0,208.0,82.5,6.5
16,0.0,0.0,0.0,64.6,-0.4285714285714306
15,331.0,162.0,0.0,50.6,13.13333333333333
18,128.0,114.0,0.0,51.42857142857143,-0.2380952380952337
16,0.0,0.0,0.0,47.0,2.0
22,0.0,24.0,0.0,52.5,-11.5
42,405.0,171.0,0.0,32.0,2.2333333333333343
5,492.0,0.0,0.0,72.33333333333333,5.9999999999999964
15,0.0,16.0,0.0,79.28571428571429,-11.714285714285715
1,302.0,0.0,0.0,58.5,-12.0
2,0.0,0.0,0.0,37.333333333333336,18.03333333333334
3,0.0,53.0,0.0,80.28571428571429,-33.0
3,0.0,0.0,0.0,79.8,-3.5714285714285694
16,0.0,0.0,0.0,58.8,-8.049999999999997
8,0.0,0.0,0.0,82.33333333333333,-2.9666666666666686
18,0.0,0.0,0.0,47.5,27.5
5,0.0,0.0,0.0,83.0,-1.0
1,0.0,0.0,0.0,81.42857142857143,-19.571428571428573
8,0.0,0.0,0.0,42.2,7.800000000000001
17,0.0,0.0,0.0,82.0,-10.0
29,0.0,41.0,0.0,53.0,-22.799999999999997
24,380.0,0.0,0.0,42.833333333333336,-1.0333333333333385
10,0.0,0.0,0.0,83.4,-4.0
14,279.0,136.0,0.0,68.75,-6.083333333333332
7,181.0,216.0,0.0,72.0,6.416666666666668
5,455.0,110.0,0.0,65.28571428571429,1.857142857142854
7,0.0,0.0,0.0,44.6,6.699999999999999
19,0.0,81.0,0.0,75.0,-9.428571428571427
15,0.0,0.0,0.0,70.4,12.714285714285715
8,0.0,0.0,0.0,61.0,-12.5
15,0.0,0.0,0.0,48.25,-1.892857142857146
13,366.0,138.0,0.0,51.333333333333336,-8.285714285714292
15,575.0,173.0,0.0,67.75,1.6000000000000014
16,56.0,17.0,135.0,52.5,19.200000000000003
22,644.0,31.0,0.0,51.0,-5.0
6,0.0,0.0,0.0,41.833333333333336,-18.0
10,0.0,0.0,0.0,69.5,-13.0
22,494.0,100.0,0.0,66.66666666666667,-8.0
16,178.0,83.0,302.0,85.42857142857143,-13.25
8,0.0,0.0,0.0,78.66666666666667,-9.428571428571423
3,0.0,0.0,0.0,89.0,-0.8571428571428577
23,283.0,197.0,0.0,60.0,30.464285714285715
3,0.0,99.0,0.0,48.6,-2.2571428571428527
2,0.0,128.0,0.0,48.0,9.357142857142854
2,0.0,0.0,0.0,58.6,-11.700000000000003
9,517.0,45.0,0.0,28.142857142857142,-0.1904761904761898
18,0.0,75.0,0.0,59.5,9.0
21,0.0,12.0,0.0,27.0,10.600000000000001
5,0.0,0.0,0.0,69.33333333333333,57.333333333333336
39,0.0,0.0,0.0,36.0,-2.5833333333333357
5,372.0,170.0,0.0,82.0,-8.75
16,261.0,81.0,596.0,94.0,-3.2857142857142847
6,286.0,113.0,0.0,46.2,-12.57142857142857
1,0.0,0.0,0.0,80.0,4.166666666666664
26,0.0,0.0,0.0,45.5,-10.42857142857143
9,631.0,97.0,0.0,63.0,0.6333333333333329
12,0.0,0.0,0.0,53.0,1.0
3,0.0,0.0,0.0,63.166666666666664,-2.5
1,382.0,0.0,0.0,51.666666666666664,1.0
9,0.0,0.0,0.0,19.0,58.8
1,0.0,0.0,0.0,80.0,-14.142857142857139
3,290.0,224.0,0.0,45.5,7.428571428571431
12,474.0,214.0,203.0,62.5,13.75
4,211.0,200.0,0.0,61.0,-10.714285714285715
4,0.0,0.0,0.0,57.4,0.5714285714285765
47,87.0,0.0,0.0,56.0,-13.285714285714286
14,0.0,0.0,0.0,74.71428571428571,5.61904761904762
8,541.0,83.0,0.0,69.5,-1.1428571428571441
13,486.0,271.0,0.0,72.28571428571429,12.857142857142858
11,0.0,0.0,0.0,74.75,-10.583333333333336
2,0.0,0.0,0.0,34.0,39.0
22,110.0,104.0,0.0,33.75,-4.452380952380949
15,359.0,100.0,0.0,59.0,7.75
17,184.0,46.0,0.0,91.0,-2.0
7,328.0,149.0,0.0,72.42857142857143,4.0
16,205.0,12.0,0.0,87.5,-5.142857142857142
16,238.0,112.0,457.0,48.857142857142854,-1.2857142857142847
8,327.0,275.0,0.0,58.25,3.6666666666666643
12,0.0,0.0,0.0,59.166666666666664,-8.571428571428577
1,318.0,0.0,0.0,49.25,-16.75
47,0.0,0.0,0.0,51.666666666666664,4.971428571428568
7,389.0,274.0,0.0,71.33333333333333,-4.5
29,153.0,0.0,0.0,51.0,-15.761904761904766
35,982.0,0.0,0.0,66.0,13.0
17,0.0,0.0,0.0,58.0,-18.700000000000003
17,353.0,175.0,0.0,77.85714285714286,5.428571428571427
30,0.0,0.0,0.0,52.0,-9.600000000000001
7,0.0,0.0,0.0,61.0,3.0
28,0.0,0.0,0.0,58.0,9.799999999999997
8,0.0,0.0,0.0,79.0,20.0
1,233.0,22.0,0.0,48.0,4.714285714285715
24,447.0,15.0,0.0,76.66666666666667,-12.666666666666668
3,417.0,102.0,0.0,58.57142857142857,13.714285714285714
24,0.0,0.0,0.0,60.0,2.75
14,0.0,0.0,0.0,81.66666666666667,0.5238095238095255
45,275.0,0.0,128.0,83.0,-9.266666666666666
45,358.0,0.0,407.0,53.4,7.533333333333335
15,0.0,0.0,0.0,66.0,4.5
27,0.0,0.0,0.0,60.333333333333336,-2.5
30,0.0,47.0,0.0,60.0,23.0
26,0.0,92.0,0.0,66.33333333333333,-18.666666666666668
12,466.0,127.0,219.0,47.5,7.428571428571431
1,0.0,0.0,0.0,69.0,0.5714285714285712
7,370.0,107.0,0.0,45.333333333333336,-7.666666666666671
1,0.0,0.0,0.0,64.85714285714286,-29.428571428571427
25,0.0,0.0,0.0,55.5,8.5
