,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4,0.006394529342651367,0.001683909525611586,0.0018947601318359375,0.00012227795122501055,BayesianRidge(),{'estimator': BayesianRidge()},-0.08754973311820691,-9.434903091576352e-05,-0.013324365617139566,-0.11035033671434147,-0.011947835407629448,-0.04465332397764663,0.04515053546203209,1
5,0.0612335205078125,0.028331557316806057,0.0019155025482177734,0.00029746741536782953,SVR(kernel='linear'),{'estimator': SVR(kernel='linear')},-0.14868946624229729,-0.04152721907811552,-0.020618019777445262,-0.0865877882230437,-0.0020665037928608854,-0.05989779942275253,0.05257595203924945,2
0,0.004137277603149414,0.0008957332646970174,0.002125453948974609,0.0005292745837337368,LinearRegression(),{'estimator': LinearRegression()},-0.1419458801180138,-0.08482680351339433,0.014599477522983406,-0.142261105915235,0.0005574170171362969,-0.07077537900130468,0.06745387435394168,3
1,0.12344555854797364,0.010124342034154816,0.01180877685546875,0.001401125185440559,RandomForestRegressor(max_depth=3),{'estimator': RandomForestRegressor(max_depth=3)},-0.07918620846243618,-0.10160706567745836,-0.014301897659986462,-0.2728677084599256,-0.07681418616625324,-0.10895541328521197,0.08694801984946465,4
2,0.12647490501403807,0.003257364096771897,0.01184687614440918,0.0006168758222654459,RandomForestRegressor(max_depth=5),{'estimator': RandomForestRegressor(max_depth=5)},-0.0515396817095517,-0.18360153666391565,-0.04018001834497675,-0.41303391436675274,-0.136565128032206,-0.16498405582348058,0.13500270527809716,5
3,0.10822162628173829,0.02254705355309709,0.007012844085693359,0.0027068032928545707,RandomForestRegressor(max_depth=7),{'estimator': RandomForestRegressor(max_depth=7)},-0.06102003998231553,-0.27711328833270166,-0.02697357270487566,-0.5419675863392557,-0.14792631233774167,-0.21100015993937804,0.18668075129830486,6
